EmployeeID	Gender	Gender Identity	Race/Ethnicity	Veteran	Disability	Education	Sexual Orientation
100001	female	female	White	0	0	Undergraduate	Heterosexual
100002	male	male	White	0	1	Undergraduate	Heterosexual
100003	female	female	Asian	0	0	Undergraduate	Heterosexual
100004	male	male	White	0	0	Undergraduate	Heterosexual
100005	male	male	Hispanic or Latino	0	0	Undergraduate	Missing
100006	male	Prefer not to say	White	0	0	Undergraduate	Heterosexual
100007	male	male	Asian	0	0	Some College	Bisexual
100008	female	female	White	0	0	High School	Missing
100009	male	male	White	0	0	Undergraduate	Heterosexual
100010	male	male	White	0	0	PhD	Gay
100011	male	male	White	0	1	High School	Missing
100012	male	male	Two or More Races	0	0	Undergraduate	Heterosexual
100013	male	Non-binary/third gender	White	0	0	High School	Missing
100014	female	female	White	0	0	Undergraduate	Missing
100015	male	male	Asian	0	0	High School	Missing
100016	male	male	White	0	0	Undergraduate	Missing
100017	female	female	White	0	0	Undergraduate	Missing
100018	female	female	White	0	0	Undergraduate	Heterosexual
100019	male	male	White	0	0	Undergraduate	Heterosexual
100020	male	male	Asian	1	0	Undergraduate	Missing
100021	female	female	White	0	1	Undergraduate	Heterosexual
100022	female	female	Asian	0	0	High School	Missing
100023	male	male	Hispanic or Latino	1	0	PhD	Gay
100024	female	female	Black or African American	0	0	High School	Missing
100025	female	female	White	0	0	Undergraduate	Heterosexual
100026	female	female	White	0	0	Graduate	Heterosexual
100027	female	Non-binary/third gender	Asian	0	0	Undergraduate	Heterosexual
100028	female	female	Asian	0	0	Undergraduate	Heterosexual
100029	male	male	Asian	0	0	High School	Missing
100030	male	male	White	0	0	Undergraduate	Heterosexual
100031	male	male	White	0	1	Undergraduate	Heterosexual
100032	female	female	White	0	0	Undergraduate	Heterosexual
100033	female	female	White	0	0	PhD	Lesbian
100034	male	male	Hispanic or Latino	0	0	High School	Missing
100035	female	female	Asian	0	0	Undergraduate	Heterosexual
100036	female	female	Asian	0	0	High School	Missing
100037	female	female	Asian	0	0	Some College	Other LGBTQ+
100038	female	female	White	0	0	High School	Missing
100039	female	Prefer to self-describe	White	0	0	Undergraduate	Heterosexual
100040	female	female	White	0	0	Undergraduate	Heterosexual
100041	female	female	White	0	0	Undergraduate	Heterosexual
