EmployeeID	Survey	I would recommend my friends or Family to work at TheCompany	I feel engaged in my work.	I believe Leadership cares about the employees at TheCompany	My manager supports me in my role at TheCompany	"TheCompany cares about Diversity, Equity and Inclusion."	I believe there is room for me to grow at TheCompany	I work on interesting projects.	My manager motivates me to work hard.	I am motivated to work hard at TheCompany.	I believe I am recognized for the work I do.	I believe there are good career opportunities for me at TheCompany.	I believe TheCompany is in a great position in the market for the next few years to be succesful.	I plan on staying with TheCompany for at least 2 more years.	I believe I am fairly compensated for my work.	I believe there is little to not politics at TheCompany	I feel comfortable going to someone in leadership if there is an issue.	My values align with the culture at TheCompany	I know what TheCompany values are at TheCompany	I feel like I can take off my accrued Paid Time Off (PTO)/Vacation without feeling guilty	What does TheCompany do well?	What can TheCompany improve?
100001	2023Q2	3	3	2	1	1	3	2	4	4	2	2	3	4	2	2	4	4	3	3		
100002	2023Q2	3	4	2	4	2	4	4	2	2	4	4	3	1	5	1	2	4	3	1		
100009	2023Q2	3	4	2	3	4	3	2	2	3	4	2	1	1	3	2	2	3	2	4		
100014	2023Q2	4	1	5	2	5	3	4	4	2	3	3	3	4	2	2	4	3	3	2		
100018	2023Q2	4	1	1	1	2	3	1	3	2	3	4	4	3	2	4	3	2	2	3		
100020	2023Q2	3	3	4	1	4	2	2	2	2	4	2	4	3	4	4	3	1	1	3		
100021	2023Q2	4	1	4	2	2	4	4	1	1	4	4	2	3	4	2	3	4	4	4		
100024	2023Q2	4	3	4	2	2	2	2	3	3	4	2	3	3	3	4	3	2	2	2		
100031	2023Q2	4	4	2	4	3	4	4	4	3	5	4	3	4	4	1	3	2	2	4		
100038	2023Q2	3	2	3	2	3	3	1	3	3	2	1	2	2	3	4	3	2	4	4		
100039	2023Q2	3	4	3	4	4	1	4	2	2	3	2	2	4	3	2	4	2	3	2		
100040	2023Q2	2	4	2	1	2	3	3	3	3	3	4	2	5	1	3	4	4	2	2		
100041	2023Q2	2	3	4	2	4	2	4	4	4	3	4	4	2	4	3	2	4	3	2		
100048	2023Q2	2	2	4	4	2	2	3	1	4	4	4	3	5	2	1	1	3	2	3		
100053	2023Q2	4	4	4	1	3	2	4	4	4	3	4	3	3	2	2	4	2	2	1		
100063	2023Q2	4	2	3	4	2	2	3	3	3	4	2	2	3	4	1	4	1	2	4		
100074	2023Q2	3	4	2	3	3	2	4	2	3	3	3	4	2	4	4	4	4	1	2		
