PerfID,EmpID,Rating,PerfDate
1,1,1,31/Dec/2015
2,2,2,31/Dec/2015
3,3,2,31/Dec/2015
4,4,4,31/Dec/2015
5,5,2,31/Dec/2015
6,6,5,31/Dec/2015
7,7,3,31/Dec/2015
8,8,4,31/Dec/2015
9,10,4,31/Dec/2015
10,11,3,31/Dec/2015
11,12,4,31/Dec/2015
12,13,3,31/Dec/2015
13,14,4,31/Dec/2015
14,16,3,31/Dec/2015
15,17,3,31/Dec/2015
16,18,4,31/Dec/2015
17,19,1,31/Dec/2015
18,20,3,31/Dec/2015
19,21,1,31/Dec/2015
20,23,4,31/Dec/2015
21,24,3,31/Dec/2015
22,25,2,31/Dec/2015
23,26,3,31/Dec/2015
24,27,3,31/Dec/2015
25,28,3,31/Dec/2015
26,29,2,31/Dec/2015
27,30,4,31/Dec/2015
28,31,4,31/Dec/2015
29,32,4,31/Dec/2015
30,33,2,31/Dec/2015
31,34,1,31/Dec/2015
32,35,3,31/Dec/2015
33,36,2,31/Dec/2015
34,39,3,31/Dec/2015
35,42,1,31/Dec/2015
36,43,1,31/Dec/2015
37,44,5,31/Dec/2015
38,45,1,31/Dec/2015
39,46,4,31/Dec/2015
40,47,4,31/Dec/2015
41,49,4,31/Dec/2015
42,51,4,31/Dec/2015
43,52,1,31/Dec/2015
44,53,3,31/Dec/2015
45,54,3,31/Dec/2015
46,55,5,31/Dec/2015
47,56,1,31/Dec/2015
48,57,3,31/Dec/2015
49,58,4,31/Dec/2015
50,59,3,31/Dec/2015
51,60,4,31/Dec/2015
52,61,3,31/Dec/2015
53,62,2,31/Dec/2015
54,63,5,31/Dec/2015
55,64,4,31/Dec/2015
56,65,3,31/Dec/2015
57,67,1,31/Dec/2015
58,69,3,31/Dec/2015
59,71,3,31/Dec/2015
60,72,3,31/Dec/2015
61,73,3,31/Dec/2015
62,74,4,31/Dec/2015
63,75,2,31/Dec/2015
64,76,3,31/Dec/2015
65,77,3,31/Dec/2015
66,78,3,31/Dec/2015
67,79,1,31/Dec/2015
68,80,5,31/Dec/2015
69,81,3,31/Dec/2015
70,82,2,31/Dec/2015
