,YearsExperience,Salary
0,1.2000000000000002,39344
1,1.4000000000000001,46206
2,1.6,37732
3,2.1,43526
4,2.3000000000000003,39892
5,3,56643
6,3.1,60151
7,3.3000000000000003,54446
8,3.3000000000000003,64446
9,3.8000000000000003,57190
10,4,63219
11,4.1,55795
12,4.1,56958
13,4.199999999999999,57082
14,4.6,61112
15,5,67939
16,5.199999999999999,66030
17,5.3999999999999995,83089
18,6,81364
19,6.1,93941
20,6.8999999999999995,91739
21,7.199999999999999,98274
22,8,101303
23,8.299999999999999,113813
24,8.799999999999999,109432
25,9.1,105583
26,9.6,116970
27,9.7,112636
28,10.4,122392
29,10.6,121873
